word,decade_start,frequency,semantic_change,polysemy
escalier,1810s,121,0.958106646939641,0.7782198513201025
connaître,1810s,818,1.00664814080084,0.7702080157293901
pensées,1810s,186,0.946912207582576,0.7781468764549032
sortit,1810s,350,1.0015080919561845,0.7697677403125255
fortune,1810s,668,0.9975385901522268,0.7678670601384359
ordres,1810s,567,0.9810393450454848,0.7700086577698136
rendit,1810s,632,0.9487865116374444,0.7562705822866171
piété,1810s,128,1.0772249892346526,0.7872072309482248
rempli,1810s,213,0.9184113721231754,0.7799827518601307
espérance,1810s,377,1.0017988933094295,0.7852704048977313
troupe,1810s,183,1.0663826956465707,0.7712335448959596
temple,1810s,558,1.0418123658075265,0.7432375251517636
ignore,1810s,214,1.030718573736202,0.7675725520000678
fleuve,1810s,171,0.9683078210466236,0.7511856712600754
naturel,1810s,182,1.0760239326660284,0.7927737234803912
rendez,1810s,190,1.080770633747255,0.7754806204369423
chère,1810s,574,0.9672738606473974,0.7234157819955289
large,1810s,115,0.9883721564733632,0.774189454477316
ancien,1810s,154,0.9978401654091554,0.7901847774459484
second,1810s,263,0.9745149280761668,0.8216885836388901
nom,1810s,2023,0.8806644632551959,0.730791536812232
bien,1810s,6553,1.022946836882917,0.7265292848259512
intention,1810s,396,0.9373754500663652,0.7881065825115232
rencontre,1810s,210,0.9796033678159736,0.8158924880182532
éloignée,1810s,138,1.017973080147253,0.7724883270119132
compter,1810s,128,0.974104612537462,0.7797582629683634
noms,1810s,159,1.0163939986292247,0.7585417811031604
bonnes,1810s,170,1.0407461808663463,0.7922547889933377
élever,1810s,131,1.0158988057589955,0.7817282553241047
vient,1810s,534,1.0086570375437172,0.8001796139323087
surprise,1810s,202,1.071149334212491,0.8092497412904317
connue,1810s,128,0.9798197664782488,0.7825873269282362
décidé,1810s,270,1.047998580962517,0.7947828734747703
couvent,1810s,357,0.9960408347704458,0.7721119749817817
trompe,1810s,113,0.9197940639962318,0.7910198198652224
écria,1810s,404,1.0592926543469712,0.7622537304935453
consentit,1810s,134,1.0071543388831723,0.8055747834869817
étoit,1810s,2556,1.046238873453419,0.6585173956878669
visites,1810s,114,0.9876881070153608,0.8074387194809562
quittant,1810s,170,0.961927502823981,0.7960054253133092
rentra,1810s,130,1.0182411077665898,0.8129906020971328
retraite,1810s,325,1.0564081415952438,0.7884962587026327
protecteur,1810s,127,0.9776109648485288,0.7834124441710492
former,1810s,171,1.058061733113564,0.7899089504826737
pensait,1810s,150,0.9911826136486704,0.7783486444998072
défauts,1810s,173,1.0129778091013713,0.7931433238195739
maréchal,1810s,1498,1.0768284061728004,0.754847110690011
asseoir,1810s,103,1.0485701679689616,0.7773084897273216
saurait,1810s,121,0.944126991006738,0.7767504531198416
diable,1810s,124,1.0767969049871806,0.7599980325162624
sacrifier,1810s,175,0.8973394324502934,0.8120743164410976
arracher,1810s,165,0.9866205905942558,0.8025861170219946
inutiles,1810s,101,1.0787601175089183,0.8254440171368047
ennemis,1810s,485,0.9986956755632984,0.7784396643746502
chercher,1810s,736,0.996322381081474,0.7793870193945882
implacable,1810s,107,1.065694490393149,0.7768472587925633
veut,1810s,648,0.9382121470633636,0.7854099113088929
moyens,1810s,488,0.9307501617869752,0.7682517431015238
allez,1810s,361,1.047566972216597,0.7549812951063553
passant,1810s,108,0.9635449891219384,0.7951511029804889
conscience,1810s,113,0.923206122778746,0.7986396943976598
capitaine,1810s,1508,0.929021753141157,0.6660053419809271
faisait,1810s,586,1.0263932054344216,0.7568375977654773
parti,1810s,583,0.912751418268414,0.7587836048211315
beaux,1810s,271,0.9400117132661752,0.7990208035214887
meilleur,1810s,173,0.887076051064538,0.8048966160749
placée,1810s,104,1.0933860980930987,0.7957108456212757
prison,1810s,584,1.003118120684238,0.7578121854868584
produit,1810s,150,0.9591726560466556,0.7878042952886464
précipitamment,1810s,151,1.102039792131328,0.7893537108798528
charmes,1810s,201,1.0013364409027627,0.7920602346659653
laissa,1810s,280,1.0341998013050813,0.7998475287931573
effroi,1810s,162,1.0421523001562762,0.7979785499813282
iii,1810s,128,1.0668764083314666,0.7606369333060624
rigueur,1810s,119,0.9206412761068076,0.7969308171547778
succès,1810s,369,1.0287940137125493,0.8006202765549556
pensée,1810s,410,1.0111258855810674,0.7669855644137532
torrent,1810s,136,0.9710357216580846,0.8041717031902766
coupable,1810s,646,0.945516423316534,0.7283178600634491
existait,1810s,128,0.9235119057507766,0.806798500866965
résultat,1810s,122,1.0739122313729013,0.8121721726975422
éprouvait,1810s,158,1.0350668350013037,0.7530413368523652
française,1810s,104,0.8704619250829996,0.7945228550503056
descendre,1810s,159,1.0346601589633009,0.8037543375530563
maîtresse,1810s,1068,0.9628676215978406,0.7050154349517324
annoncer,1810s,232,1.027971554594966,0.7819913792298909
ans,1810s,860,0.9986421584552296,0.6056422500776547
enfermé,1810s,108,0.9945519413499656,0.7732377565407923
procès,1810s,101,1.050077586867146,0.7884325240340416
renoncer,1810s,198,0.8690316615301217,0.7758988331341976
effets,1810s,103,1.048084357650564,0.7945350431602021
revoir,1810s,328,1.0564871591615528,0.7473171437164867
neuf,1810s,227,0.9311482095597126,0.6894141423706356
puisqu,1810s,352,1.0291979825551425,0.7981895123261697
salle,1810s,424,1.021899290628267,0.699517464405712
refusa,1810s,110,1.0247711191863276,0.7988703436715894
nuit,1810s,845,0.856281828567891,0.7171832689149931
prétexte,1810s,153,0.9211309582846892,0.8078970632376394
manque,1810s,106,1.0969446187495582,0.7244251394613584
enlevé,1810s,128,1.0035781718709924,0.7701074022039072
trembler,1810s,113,0.9895486800115934,0.7846127152461987
yeux,1810s,1643,1.0416405021876396,0.7538412593539859
habit,1810s,137,0.9461925414351768,0.8015878391472301
quelqu,1810s,379,0.9709246493669592,0.7986938576743956
moment,1810s,2112,0.9831393295230908,0.7784603562251615
bâtiment,1810s,134,1.0144011553567718,0.8050073888832621
parole,1810s,320,1.0304127834579084,0.7964368296271532
changé,1810s,152,1.1245294865384867,0.7821937297034018
hier,1810s,203,0.9047409219850906,0.7842568865209365
anciens,1810s,167,1.0367269614689756,0.7728741400364931
antique,1810s,109,0.9968106126206552,0.7976911674308045
promis,1810s,297,0.9509407394375572,0.8016392768177301
sortir,1810s,731,1.07328066796541,0.8057870808949407
hôtel,1810s,515,0.9510808841555388,0.7571077262001944
personnes,1810s,446,0.8686282266563252,0.7387633282770241
