word,semantic_change,frequency,polysemy
rouletabille,1.0842540280334232,2060.0,0.4143454301858859
mécomptes,1.0842215735003964,141.5,0.6626458830563366
assorti,1.0841943191026229,119.0,0.7302378711688213
braise,1.0840531906924784,269.6,0.6189492306222386
parfaites,1.0839126418233431,139.0,0.7343102779464912
presles,1.0839110132807328,390.0,0.7112277846720818
ambulants,1.0838985470776785,118.0,0.6512911410113571
phaéton,1.0838421215308245,204.0,0.4503870040489733
superflue,1.0838192502051425,114.0,0.7109673530573921
egypte,1.0837569579456203,108.0,0.7184710742290944
entrevois,1.083756041233637,149.0,0.7579787782831242
blottie,1.0837122423259968,181.0,0.6330544180683741
psaumes,1.0834818681462928,145.0,0.5426649139134678
désireuse,1.0834361012823035,149.0,0.6919992355812583
négresses,1.083335211473292,136.0,0.75928215310134
brumaire,1.08327804430827,110.0,0.669082497723877
lantier,1.08310659336533,273.0,0.7353615536781651
marionnettes,1.0830642967542297,137.5,0.7179108686421845
tentante,1.0828364988357222,150.0,0.7236369188098111
prospérités,1.0827118794116288,147.0,0.7391717938993766
résultant,1.0826703450462494,150.0,0.7220205625058976
octroi,1.0826509268060578,115.0,0.7486204798593179
inonde,1.0826128117995713,118.25,0.7086446692978288
liard,1.082551003702234,178.0,0.604176102983276
rouillée,1.082387265323098,120.0,0.6006607779277372
ridées,1.0823421031494036,126.0,0.6346081963729301
soustrait,1.0819906043831695,132.0,0.6501890609039641
moussues,1.0819044769316108,100.0,0.6992177629661962
distinguai,1.0818367024949544,109.0,0.7476812407854292
mordante,1.0818122465637723,156.0,0.5663159119494225
espères,1.0816954068206104,121.0,0.6723795444257799
gelés,1.081646695489268,107.0,0.7232460439554278
campa,1.0816250243321694,163.5,0.7163889353682074
orcival,1.081513592612368,310.0,0.6553799005595414
enfermant,1.0814654299226123,109.0,0.7209899618896425
bosses,1.0812995697991292,131.0,0.7653982709200097
marierait,1.0812916012334317,121.0,0.695363978915163
stupidement,1.0812465225221712,115.0,0.6756952679667101
diminua,1.0812091270550108,160.0,0.6941013080577888
sirop,1.081184659783191,285.0,0.5323787502107271
éveillera,1.081086124582887,100.0,0.6617726594518791
réfractaires,1.0810044684785474,114.0,0.7430836177610406
rita,1.0808824092282392,330.0,0.5866894012295785
oppressait,1.0808496475118703,125.0,0.6448151215922293
ombrageux,1.0807589194286593,140.0,0.6965739872209837
suffisants,1.0807521454105247,139.0,0.7296176158965337
roués,1.0805911840982474,206.0,0.730997285077514
baste,1.080551075805941,132.0,0.753640136157626
amertumes,1.0804871843467267,165.5,0.5513022401620249
chanteuses,1.0804558244600695,101.0,0.6002483238043655
amènerai,1.080449130444545,150.0,0.5831848461020851
fiction,1.0803931309094112,128.5,0.7364673213720256
retracer,1.080312690686821,138.5,0.7235617129575189
traversés,1.0800564642073203,150.5,0.7512928680007098
éprouvât,1.080001483304643,125.0,0.4752765630469998
constatations,1.0799823809940845,176.0,0.6599685162448456
inspirez,1.0799447348132003,156.0,0.572499360129633
crépitement,1.079932815401824,134.0,0.6009502407641556
artistement,1.0798468264148053,169.0,0.7435317862677837
rieur,1.0798151373121272,100.0,0.6237805344210859
incendies,1.07976473504023,189.0,0.66999625389664
commensal,1.0797343954025131,146.0,0.6950527723243589
béchoux,1.0796394262199676,498.0,0.4632091600817271
pastilles,1.0795499337969336,132.0,0.7235200157157522
grimaçant,1.079426308531596,106.0,0.634610109554932
illuminés,1.079398818835921,116.0,0.7155624106636378
fourmillement,1.0792113656079665,206.0,0.7611397667920742
fourgon,1.0792109868468913,190.66666666666666,0.670157867818214
cordoue,1.0791764758158129,258.0,0.5415817885977676
jurerait,1.0791247833096522,119.0,0.7595583426783981
percées,1.0791139366976947,176.25,0.6867549112249077
litre,1.079096435295391,362.6666666666667,0.47115798519258506
vernier,1.0790645666577472,156.5,0.5675861483543561
mauduit,1.078919062133591,184.0,0.53971953629476
menées,1.0788066023067262,198.0,0.6752709406829092
lausanne,1.078707819667049,140.0,0.6553597594844625
coalition,1.0785350847881037,114.0,0.7509298341181305
émerveillé,1.0785318687895593,379.75,0.7185626847639401
helder,1.078493187265736,291.0,0.4903128514866138
légitimement,1.0784625509998569,151.5,0.7215983778139627
écolière,1.078404085368202,105.0,0.7349566914794741
pêches,1.078349238744968,170.5,0.6137739048057568
